Date,Wind_39
1981-04-01T00:00:00Z,-6.61724
1981-05-01T00:00:00Z,-6.64568
1981-06-01T00:00:00Z,-6.25425
1981-07-01T00:00:00Z,-5.74057
1981-08-01T00:00:00Z,-5.24558
1981-09-01T00:00:00Z,-4.50389
1981-10-01T00:00:00Z,-1.00893
1981-11-01T00:00:00Z,2.20139
1981-12-01T00:00:00Z,1.41279
1982-01-01T00:00:00Z,-2.17326
1982-02-01T00:00:00Z,-3.64665
1982-03-01T00:00:00Z,-0.14681
1982-04-01T00:00:00Z,-1.44103
1982-05-01T00:00:00Z,-7.22973
1982-06-01T00:00:00Z,-2.72326
1982-07-01T00:00:00Z,-5.6754
1982-08-01T00:00:00Z,-3.57314
1982-09-01T00:00:00Z,-4.75292
1982-10-01T00:00:00Z,-0.48452
1982-11-01T00:00:00Z,0.45997
1982-12-01T00:00:00Z,1.6716
1983-01-01T00:00:00Z,2.41529
1983-02-01T00:00:00Z,5.34179
1983-03-01T00:00:00Z,3.98954
1983-04-01T00:00:00Z,-2.04465
1983-05-01T00:00:00Z,-4.76151
1983-06-01T00:00:00Z,-6.57372
1983-07-01T00:00:00Z,-6.93117
1983-08-01T00:00:00Z,-2.96934
1983-09-01T00:00:00Z,-3.84595
1983-10-01T00:00:00Z,-2.10352
1983-11-01T00:00:00Z,1.22051
1983-12-01T00:00:00Z,0.54504
1984-01-01T00:00:00Z,-1.15841
1984-02-01T00:00:00Z,0.6619
1984-03-01T00:00:00Z,-1.75413
1984-04-01T00:00:00Z,-4.08328
1984-07-01T00:00:00Z,-4.48677
1984-08-01T00:00:00Z,-5.24709
1984-09-01T00:00:00Z,-5.0219
1984-10-01T00:00:00Z,-2.0572
1984-11-01T00:00:00Z,2.08146
1984-12-01T00:00:00Z,-1.07145
1985-01-01T00:00:00Z,-0.74973
1985-02-01T00:00:00Z,-4.68465
1985-03-01T00:00:00Z,-2.72182
1985-04-01T00:00:00Z,-4.21506
1985-05-01T00:00:00Z,-4.32254
1985-06-01T00:00:00Z,-4.07179
1985-07-01T00:00:00Z,-3.09242
1985-09-01T00:00:00Z,-1.41611
1985-10-01T00:00:00Z,-2.79717
1985-11-01T00:00:00Z,-2.71697
1985-12-01T00:00:00Z,0.07272
1986-01-01T00:00:00Z,3.4593
1986-02-01T00:00:00Z,2.21366
1986-03-01T00:00:00Z,-0.89959
1986-04-01T00:00:00Z,-4.57183
1986-05-01T00:00:00Z,-3.99005
1986-06-01T00:00:00Z,-2.17629
1986-07-01T00:00:00Z,-4.40566
1986-08-01T00:00:00Z,-2.52786
1986-09-01T00:00:00Z,-0.81822
1986-10-01T00:00:00Z,-0.88471
1986-11-01T00:00:00Z,-2.45857
1986-12-01T00:00:00Z,1.2942
1987-01-01T00:00:00Z,0.36395
1987-02-01T00:00:00Z,-1.37768
1987-03-01T00:00:00Z,-0.11728
1987-04-01T00:00:00Z,-3.37732
1987-05-01T00:00:00Z,-4.67661
1987-06-01T00:00:00Z,-3.59248
1987-07-01T00:00:00Z,-3.92249
1987-08-01T00:00:00Z,-1.30688
1987-09-01T00:00:00Z,-3.37824
1987-10-01T00:00:00Z,-1.48731
1987-11-01T00:00:00Z,-0.94576
1987-12-01T00:00:00Z,0.76312
1988-01-01T00:00:00Z,0.68441
1988-06-01T00:00:00Z,-4.86958
1988-07-01T00:00:00Z,-4.47601
1988-08-01T00:00:00Z,-3.57497
1988-09-01T00:00:00Z,-3.1943
1989-01-01T00:00:00Z,-3.30766
1989-02-01T00:00:00Z,-1.80313
1989-03-01T00:00:00Z,2.08643
1989-04-01T00:00:00Z,-1.14184
1989-06-01T00:00:00Z,-2.82957
1989-07-01T00:00:00Z,-6.55351
1989-08-01T00:00:00Z,-3.51031
1989-09-01T00:00:00Z,-1.51678
1989-10-01T00:00:00Z,-1.86914
1989-11-01T00:00:00Z,-3.18375
1989-12-01T00:00:00Z,-1.69283
1990-01-01T00:00:00Z,-1.64286
1990-02-01T00:00:00Z,-2.44425
1990-03-01T00:00:00Z,-2.07493
1990-04-01T00:00:00Z,-3.22949
1990-05-01T00:00:00Z,-2.96233
1990-06-01T00:00:00Z,-3.78799
1990-07-01T00:00:00Z,-2.94553
1990-08-01T00:00:00Z,-1.90756
1990-09-01T00:00:00Z,-3.14862
1990-10-01T00:00:00Z,-4.56965
1990-11-01T00:00:00Z,-4.17844
1990-12-01T00:00:00Z,-3.82406
1991-01-01T00:00:00Z,-0.13504
1991-02-01T00:00:00Z,-0.15432
1991-03-01T00:00:00Z,-0.10378
1991-04-01T00:00:00Z,-4.34777
1991-05-01T00:00:00Z,-6.10606
1991-06-01T00:00:00Z,-6.13014
1991-07-01T00:00:00Z,-3.12871
1991-08-01T00:00:00Z,-3.02338
1991-09-01T00:00:00Z,-2.13115
