Date,Anchovy_CPUE
1999-01-01T00:00:00Z,1.2490714
2000-01-01T00:00:00Z,1.0127776
2001-01-01T00:00:00Z,0.50355124
2002-01-01T00:00:00Z,0.50831723
2003-01-01T00:00:00Z,1.4348197
2004-01-01T00:00:00Z,3.2054517
2005-01-01T00:00:00Z,2.0455368
2006-01-01T00:00:00Z,0.62877893
2007-01-01T00:00:00Z,1.455016
2008-01-01T00:00:00Z,0.9541862
2009-01-01T00:00:00Z,2.0908258
2010-01-01T00:00:00Z,1.9203026
2011-01-01T00:00:00Z,1.4065338
2012-01-01T00:00:00Z,1.0338043
2013-01-01T00:00:00Z,0.54114765
2014-01-01T00:00:00Z,2.4705472
2015-01-01T00:00:00Z,0.3267217
2016-01-01T00:00:00Z,0.4087693
